Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,12070,2,12,29.80970993939373,1.2520839954959229,2524.066166995908,3.025517812758906,109.50777532416916,0.01814544744393855,12,20,31,39,75,130,190,240,400,2300,2500
GET,/health,18274,1,9,27.311871347956803,1.0890840057982132,3013.6666250036797,16.007715880485936,165.79495329526654,0.009072723721969276,9,17,26,34,70,120,190,230,410,2700,3000
POST,/urls [create],17249,4,19,41.37405638762132,1.350958991679363,3485.8621670136927,73.01947939010957,156.49541148024804,0.0362908948878771,19,36,52,65,100,150,220,260,420,3500,3500
GET,/urls [list],36423,1,13,31.340879139450966,1.5209159901132807,4363.9592500112485,28.00354171814513,330.45581612528696,0.009072723721969276,13,22,33,42,79,130,200,240,410,3400,4400
POST,/users [create],11053,7,57,151.86616791778266,2.812166014336981,4471.890291999443,124.72821858319008,100.28081529892641,0.06350906605378494,57,83,110,130,210,330,1100,4100,4400,4500,4500
GET,/users [list],30608,3,13,31.802596332776755,1.4100830012466758,3482.79341601301,3235.2382710402508,277.6979276820356,0.02721817116590783,13,22,33,42,81,130,200,250,420,3400,3500
GET,/users/<id> [get],24230,1,11,29.52319157726845,1.0664169967640191,3520.7924589922186,124.62806438299629,219.83209578331557,0.009072723721969276,11,20,30,39,75,130,190,240,400,2700,3500
PUT,/users/<id> [update],18159,0,24,45.31345669666289,3.0620420002378523,3623.5284169961233,124.74029406905666,164.75159006724007,0.0,24,40,55,67,110,160,220,280,400,3500,3600
,Aggregated,168066,19,14,41.080735485631514,1.0664169967640191,4471.890291999443,644.367212880654,1524.8163850564883,0.17238175071741624,14,27,41,53,95,140,220,280,3200,4400,4500
