Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,9283,0,5,18.268354396451542,1.259292010217905,10550.322249997407,3.0,92.72552421341348,0.0,5,8,12,16,38,73,140,200,350,11000,11000
GET,/health,13734,0,4,14.489301492597084,1.0232499917037785,3590.624124990427,16.0,137.1854303077691,0.0,4,6,9,13,31,62,120,190,380,3400,3600
POST,/urls [create],13215,3,10,31.853572516511832,1.3790840021101758,3410.7996670063585,73.01906923950057,132.00127140797792,0.029966236414977962,10,22,36,45,78,120,190,240,450,3400,3400
GET,/urls [list],27594,0,6,18.667774652763477,1.4768330001970753,3394.7092500020517,28.0,275.62944254496733,0.0,6,9,13,18,41,77,140,200,370,3200,3400
POST,/users [create],8686,6,43,115.17047872112033,2.8331670037005097,4387.062290988979,124.65565277457978,86.76224316683286,0.059932472829955924,43,76,98,120,220,360,1100,1200,4300,4400,4400
GET,/users [list],22817,0,6,18.516490495817706,1.462125001125969,7477.838165999856,3238.5052373230487,227.91320542685074,0.0,6,9,13,17,40,77,140,200,370,3500,7500
GET,/users/<id> [get],18571,0,5,16.775429449504944,1.0572920000413433,10451.446915991255,124.59269829303753,185.50099215418524,0.0,5,8,11,15,38,72,130,190,350,3500,10000
PUT,/users/<id> [update],13715,0,10,26.109423713737453,3.0501660075969994,8229.211291996762,124.69624498724025,136.9956441438076,0.0,10,15,23,29,60,100,170,230,390,6100,8200
,Aggregated,127615,9,6,26.620174144818698,1.0232499917037785,10550.322249997407,634.6034948869647,1274.7137533658042,0.08989870924493389,6,11,18,25,60,100,180,250,1200,4300,11000
