Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,6590,52,3,7.985558903965837,0.6161249912111089,3378.7814999959664,4.215174506828528,73.14220797392616,0.5771464058640607,3,4,5,6,13,31,61,88,220,3400,3400
GET,/health,9914,67,2,6.567437026076162,0.62616600189358,282.6773750130087,16.952894896106518,110.03518207185189,0.7436309460171552,2,3,4,5,10,28,59,82,220,280,280
POST,/urls [create],9234,35,5,20.421185267906736,0.7047499966574833,451.82741699682083,73.3183885640026,102.48788291824495,0.38846392702388705,5,14,26,34,60,86,120,150,260,450,450
GET,/urls [list],19291,127,3,7.88373172346724,0.553625010070391,3394.016709004063,28.84925612980146,214.110217606223,1.409569106629533,3,4,5,6,13,31,61,86,180,300,3400
POST,/users [create],6229,105,31,84.9501848617425,0.6891669909236953,4097.0969579939265,125.2181730614866,69.13548004090835,1.1653917810716612,31,64,84,97,150,250,1000,1100,1200,4100,4100
GET,/users [list],16203,101,3,8.128522654735713,0.5816249904455617,335.61008400283754,3263.704499166821,179.83660027337262,1.1209959036975026,3,4,5,7,14,33,66,94,220,310,340
GET,/users/<id> [get],12740,65,3,7.372582568765565,0.6622499931836501,3340.9281659987755,124.92409733124019,141.40086943669488,0.721433007330076,3,4,4,5,12,30,62,88,210,300,3300
PUT,/users/<id> [update],9567,36,6,12.515912440459344,0.6365840090438724,350.020375000895,124.72081112156371,106.18383970964364,0.3995628963674267,6,8,9,11,24,51,86,110,230,350,350
,Aggregated,89768,588,4,14.84845699600452,0.553625010070391,4097.0969579939265,644.7278206042242,996.3322800308655,6.526193974001302,4,5,7,9,32,64,110,150,1100,1200,4100
