Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,3843,0,4,4.060054730561315,1.708041992969811,46.016458014491946,3478.780900338277,13.28804292080552,0.0,4,4,4,5,6,7,9,11,33,46,46
GET,/health,5777,0,3,3.2685354442739665,1.211583032272756,47.37887502415106,16.0,19.97528596239747,0.0,3,3,4,4,5,6,7,9,25,47,47
POST,/urls [create],4263,1,6,7.7086983711003025,3.1416250276379287,77.31241703731939,229.0877316443819,14.740288048762407,0.003457726495135446,6,7,8,9,13,17,21,23,53,77,77
GET,/urls [list],11441,0,4,4.274084129183605,1.78883399348706,62.05858301836997,2797.9778865483786,39.559848830844636,0.0,4,4,5,5,6,7,9,10,35,55,62
GET,/urls/<id> [get],9324,0,3,3.343457913924974,1.131500001065433,44.32458302471787,230.2846417846418,32.239841840642896,0.0,3,3,4,4,5,6,8,9,24,44,44
PUT,/urls/<id> [update],7455,0,8,8.175097159751816,4.132916976232082,80.3122500074096,232.07806841046278,25.77735102123475,0.0,8,8,9,9,11,12,14,17,37,80,80
POST,/users [create],2331,2,6,9.098449743182828,2.7942080050706863,74.36470902757719,122.83697983697984,8.059960460160724,0.006915452990270892,6,7,9,13,20,25,32,36,55,74,74
GET,/users [list],9488,0,4,3.9727456765635134,1.4832919696345925,63.57245799154043,3187.522870994941,32.80690898584511,0.0,4,4,4,5,6,7,8,10,30,64,64
GET,/users/<id> [get],7545,0,3,3.280834996201977,1.2923749745823443,38.76033297274262,123.4937044400265,26.08854640579694,0.0,3,3,4,4,5,6,8,9,25,39,39
PUT,/users/<id> [update],5542,0,6,6.393032376154083,2.9992079944349825,50.89445901103318,123.7849151930711,19.16272023604064,0.0,6,7,7,7,9,10,13,15,39,51,51
,Aggregated,67009,3,4,4.886699264129862,1.131500001065433,80.3122500074096,1230.7942962885581,231.6987947125311,0.010373179485406338,4,5,6,6,8,10,13,18,39,66,80
