Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,19369,0,3,3.721250680456559,1.3392079854384065,202.13254203554243,3479.277298776395,44.08541387593921,0.0,3,3,4,4,5,7,12,24,76,190,200
GET,/health,29098,0,2,3.232260761781551,0.9377080132253468,195.80883398884907,16.0,66.22940642067628,0.0,2,3,3,3,4,6,14,28,90,150,200
POST,/urls [create],21387,0,5,7.022823781318658,2.6722499751485884,196.44658302422613,230.4962827886099,48.678545436765546,0.0,5,6,7,8,12,16,21,33,81,150,200
GET,/urls [list],58444,0,3,3.8261316703440706,1.4110410120338202,190.72516699088737,2939.454571897885,133.02328094198933,0.0,3,3,4,4,5,7,12,24,63,140,190
GET,/urls/<id> [get],48199,0,2,3.0550331653701694,0.9127079974859953,161.09479201259091,230.79912446316314,109.70483057495967,0.0,2,3,3,3,4,6,11,23,63,100,160
PUT,/urls/<id> [update],38540,0,6,7.422300951596633,3.283208003267646,186.185208032839,233.63510638297873,87.72016370378941,0.0,6,7,7,8,10,13,20,34,100,180,190
POST,/users [create],11804,13,5,7.220130518203227,2.4569170200265944,195.48479199875146,123.10708234496781,26.86686072546783,0.029589053662409506,5,6,7,9,14,18,28,37,86,170,200
GET,/users [list],48614,4,3,3.592120636159796,1.2088340008631349,166.45445802714676,3209.984202081705,110.64940421110582,0.00910432420381831,3,3,4,4,5,7,12,24,68,140,170
GET,/users/<id> [get],38498,0,2,3.058020749408863,0.9054169640876353,241.0851249587722,123.31762688970855,87.62456829964931,0.0,2,3,3,3,4,6,11,22,64,140,240
PUT,/users/<id> [update],28809,0,5,6.012941061805928,2.5911249686032534,221.45287500461563,124.53878996147037,65.57161899695042,0.0,5,5,6,7,8,11,19,33,97,200,220
,Aggregated,342762,17,3,4.446391656439154,0.9054169640876353,241.0851249587722,1256.1078211703748,780.1540931872928,0.03869337786622781,3,4,5,6,7,10,17,27,74,160,240
