Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,8321,0,3,3.256338120285046,1.4049159944988787,92.98470802605152,3473.6811681288304,24.53053505104246,0.0,3,3,4,4,5,6,8,10,35,93,93
GET,/health,12565,0,2,2.7930542338986752,0.9927499922923744,147.48870802577585,16.0,37.041962854987204,0.0,2,3,3,3,4,5,7,8,42,90,150
POST,/urls [create],9220,2,5,6.465984254926716,2.819416986312717,298.2753340038471,229.54295010845988,27.18081158161417,0.005896054573018257,5,6,6,7,11,15,19,23,68,300,300
GET,/urls [list],24557,0,3,3.4415834099510003,1.536583004053682,153.4180419985205,2837.4017591725374,72.39470607480467,0.0,3,3,4,4,5,6,8,10,46,100,150
GET,/urls/<id> [get],20389,0,2,2.7295079382861234,0.9167079697363079,93.17579201888293,230.6376477512384,60.10732834463463,0.0,2,3,3,3,4,5,7,8,37,76,93
PUT,/urls/<id> [update],16215,0,6,6.720471389238033,3.2349590328522027,298.62066701753065,232.96373728029602,47.80226245074552,0.0,6,7,7,7,9,10,13,16,77,270,300
POST,/users [create],5056,9,5,7.523614548897714,2.5401670136488974,256.1485420446843,123.02056962025317,14.905225960590155,0.02653224557858216,5,6,7,10,16,22,31,35,51,260,260
GET,/users [list],20916,0,3,3.1780860350655344,1.1884589912369847,117.41066700778902,3232.2352266207686,61.66093872462494,0.0,3,3,4,4,5,6,7,9,43,78,120
GET,/users/<id> [get],16315,0,2,2.72633104589107,0.9843750158324838,177.84445802681148,123.42157523751149,48.09706517939644,0.0,2,3,3,3,4,5,7,9,37,75,180
PUT,/users/<id> [update],12427,0,5,5.374235459878224,2.736374968662858,298.70420799124986,124.15965236983986,36.635135089448944,0.0,5,5,6,6,7,8,11,14,73,300,300
,Aggregated,145981,11,3,4.01918327213067,0.9167079697363079,298.70420799124986,1241.0105356176489,430.35597131188916,0.03242830015160042,3,4,5,5,6,8,11,16,48,250,300
