Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,6435,2,4,9.085649339742336,1.3848330127075315,246.6817080276087,3511.969696969697,71.39939497844153,0.02219095415025378,4,5,7,8,16,37,70,91,220,250,250
GET,/health,9652,1,3,7.137222466739236,1.0850419639609754,243.2195830042474,16.014608371322005,107.09354472912474,0.01109547707512689,3,4,5,6,12,30,55,79,200,240,240
POST,/urls [create],9521,0,11,33.39905731255317,3.056500048842281,290.9148749895394,231.05755697930888,105.64003723228312,0.0,11,35,54,65,90,110,140,170,250,290,290
GET,/urls [list],19399,8,4,9.535120315104685,1.5534170088358223,294.7291249874979,2559.428888087015,215.24115978038654,0.08876381660101512,4,5,7,8,19,41,73,98,210,290,290
GET,/urls/<id> [get],16030,0,3,8.48703476558881,0.9663329692557454,269.1371659748256,231.1865876481597,177.86049751428405,0.0,3,4,5,7,16,39,71,96,210,270,270
PUT,/urls/<id> [update],12853,0,9,15.987100804826278,3.702958987560123,306.74895900301635,233.71267408387146,142.61016684660592,0.0,9,11,13,15,32,60,96,120,230,280,310
POST,/users [create],6296,37,43,59.12151069404121,2.689959015697241,4263.464000017848,124.85546378653113,69.8571236649989,0.4105326517796949,43,68,83,92,120,150,220,300,1100,4300,4300
GET,/users [list],16256,4,4,9.195171061237918,1.3503750087693334,315.98899996606633,3261.6818405511813,180.3680753332627,0.04438190830050756,4,5,6,8,17,40,73,97,220,290,320
GET,/users/<id> [get],12794,0,3,8.042748543935831,1.0067919502034783,255.92179200612009,124.4590433015476,141.95553369917343,0.0,3,4,5,6,14,37,70,92,210,250,260
PUT,/users/<id> [update],9754,0,7,14.274084228293601,2.925249980762601,3488.7837909627706,124.61246668033627,108.22528339078768,0.0,7,9,11,13,28,55,92,120,250,3500,3500
,Aggregated,118990,52,5,14.586791300845636,0.9663329692557454,4263.464000017848,1159.1728464576854,1320.2508171693487,0.5769648079065982,5,7,9,12,40,71,110,130,260,1100,4300
