Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,11381,96,81,156.75242193611325,0.5687919910997152,10196.492207993288,3453.237413232581,103.2486604567242,0.8709139270578616,81,150,220,260,410,530,690,820,1600,10000,10000
GET,/health,16928,126,68,149.31971944693487,0.55929203517735,22522.56104099797,17.049503780718336,153.57115580453626,1.1430745292634434,68,140,210,250,400,530,690,790,2400,10000,23000
POST,/urls [create],15532,79,100,177.7060070391047,0.6062499596737325,10783.931209007278,231.212979654906,140.90661578190318,0.716689585808032,100,160,220,260,400,550,710,840,3700,10000,11000
GET,/urls [list],33717,287,79,155.90442872242429,0.5771659780293703,9592.083416995592,2531.8269418987456,305.88130081885333,2.6036697611000656,79,150,220,260,410,540,700,800,2300,4300,9600
GET,/urls/<id> [get],27300,162,78,152.7890489186926,0.6251669838093221,6746.861916035414,230.65919413919414,247.6661480070794,1.4696672519101415,78,150,210,260,400,530,700,800,1900,3900,6700
PUT,/urls/<id> [update],21818,152,110,186.1365927312397,0.6644170498475432,6901.454917038791,233.44664955541296,197.93333396404608,1.3789470511749475,110,190,260,310,450,570,730,840,1900,5200,6900
POST,/users [create],10608,235,110,208.13856425901088,0.5847919965162873,4417.688334011473,125.43363499245852,96.23598893989372,2.131924717277057,110,170,220,270,440,650,1200,1400,3900,4300,4400
GET,/users [list],28495,267,82,156.66026480813454,0.581375032197684,10282.076083996799,3230.5394279698194,258.50721199493506,2.422229359629678,82,150,220,260,410,530,690,800,1900,9600,10000
GET,/users/<id> [get],21812,141,76,152.40001266025544,0.6077500293031335,9575.721625005826,124.59031725655602,197.87890184360498,1.2791548303662343,76,150,210,260,400,520,690,810,2100,8900,9600
PUT,/users/<id> [update],16439,119,110,184.11787507889332,0.5687500233761966,20657.760458008852,124.97311271975181,149.13493798858528,1.0795703887488077,110,190,250,300,440,570,730,860,1500,10000,21000
,Aggregated,204030,1664,90,164.6010048769459,0.55929203517735,22522.56104099797,1166.9552075675147,1850.9642556001616,15.095841402336267,90,160,220,270,410,550,710,850,3100,9600,23000
