Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,3995,0,3,5.445816483901107,1.4200829900801182,262.8072919906117,3557.219524405507,49.87948971406964,0.0,3,3,4,4,6,19,46,65,170,260,260
GET,/health,5958,2,2,4.206467617571447,1.079708046745509,208.1595409545116,16.047331319234644,74.38848553602676,0.024970958555228857,2,2,3,3,5,13,35,57,98,210,210
POST,/urls [create],5980,0,7,27.72556280942687,2.881542022805661,2509.3091250164434,230.91438127090302,74.66316608013427,0.0,7,27,45,54,80,100,120,130,220,2500,2500
GET,/urls [list],12152,6,3,5.506926914164498,1.1437080102041364,210.28570900671184,2532.5176102699143,151.72354418157053,0.07491287566568657,3,3,4,4,6,18,45,69,120,210,210
GET,/urls/<id> [get],10072,0,2,4.794745086681178,0.9889579960145056,263.65158398402855,231.08111596505162,125.75374728413252,0.0,2,3,3,3,5,16,45,70,130,260,260
PUT,/urls/<id> [update],7971,0,6,10.073058229779726,3.48062498960644,269.78700002655387,233.3853970643583,99.5217553218646,0.0,6,7,8,8,12,33,61,85,160,270,270
POST,/users [create],4027,32,43,52.55768627017311,2.6619170093908906,1099.063333007507,124.93692575117954,50.2790250509533,0.3995353368836617,43,64,77,87,110,140,180,230,1100,1100,1100
GET,/users [list],10323,3,3,5.222140015343355,0.8029160089790821,209.98383400728926,3245.117988956699,128.88760258281374,0.03745643783284328,3,3,3,4,6,17,44,67,130,210,210
GET,/users/<id> [get],7813,0,2,4.757517841763191,0.9974580025300384,209.70912498887628,124.57148342506079,97.54904959600152,0.0,2,3,3,3,5,17,43,64,140,210,210
PUT,/users/<id> [update],6030,0,5,8.487247364415214,2.8692909982055426,207.45212497422472,124.43217247097844,75.287440044015,0.0,5,6,6,7,10,30,63,86,130,210,210
,Aggregated,74321,43,3,10.253209382759898,0.8029160089790821,2509.3091250164434,1162.2094024569099,927.9333053915819,0.5368756089374204,3,5,6,7,21,57,90,110,210,1100,2500
