Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,4105,0,2,4.498963877404149,1.3281659921631217,147.3574169940548,3.0,51.261384713088326,0.0,2,3,3,4,5,14,33,47,94,150,150
GET,/health,5971,0,2,4.3807034062278305,1.1564169981284067,217.42395899491385,16.0,74.56314935976867,0.0,2,3,3,3,5,14,34,48,120,220,220
POST,/urls [create],6141,1,3,15.990234385224548,1.271708999411203,206.54674999241251,73.01367855398144,76.68603252693676,0.012487548042165243,3,10,21,28,49,68,91,100,160,210,210
GET,/urls [list],12127,0,3,5.184726308817713,1.5112080000108108,253.51291699917056,28.0,151.43649510733792,0.0,3,3,4,4,6,16,39,59,110,220,250
POST,/users [create],4054,0,31,64.92696629630643,2.6282079925294966,1160.3983329987386,124.68697582634435,50.6245197629379,0.0,31,58,75,88,130,220,300,1100,1100,1200,1200
GET,/users [list],10161,0,3,4.955476641164445,1.4144999877316877,231.9364169961773,3232.457435291802,126.88597565644105,0.0,3,3,3,4,6,16,35,52,110,230,230
GET,/users/<id> [get],8162,0,2,4.497328690197486,1.0450419940752909,158.1409159989562,124.61492281303602,101.92336712015272,0.0,2,3,3,3,6,15,35,52,100,160,160
PUT,/users/<id> [update],6035,0,5,8.716963376496786,3.008790998137556,3159.6386669989442,124.44656172328087,75.36235243446724,0.0,5,5,6,7,10,28,55,78,140,3200,3200
,Aggregated,56756,1,3,10.722694029259902,1.0450419940752909,3159.6386669989442,634.5480125449292,708.7432766811306,0.012487548042165243,3,4,5,5,21,49,86,110,1000,1100,3200
