Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,6509,0,3,9.59136264149257,1.3525840040529147,17473.27033300826,3.0,72.24719592523506,0.0,3,4,4,5,11,27,55,84,210,17000,17000
GET,/health,9945,0,3,5.915734698298451,1.1710000107996166,210.33591699961107,16.0,110.38536848616725,0.0,3,3,4,5,9,23,50,70,140,210,210
POST,/urls [create],9531,5,5,18.977611707669364,1.2682079977821559,306.816374999471,73.04406672961913,105.79014047678835,0.05549792281858585,5,12,23,32,57,84,110,130,230,310,310
GET,/urls [list],19454,0,3,7.409132501162065,1.4620000001741573,3553.3131249976577,28.0,215.93131810255383,0.0,3,4,5,6,12,29,57,81,170,240,3600
POST,/users [create],6321,2,31,73.29178041431672,2.738957991823554,7046.217124996474,124.68169593418763,70.16047402725623,0.022199169127434342,31,60,76,88,130,200,300,1100,7000,7000,7000
GET,/users [list],16011,0,3,7.147847981370659,1.3667919993167743,318.81087498913985,3263.2254075323217,177.71544844967562,0.0,3,4,5,6,11,27,55,80,210,310,320
GET,/users/<id> [get],12963,0,3,6.419266446774865,1.0725830070441589,1025.1771670009475,124.53189848029005,143.88391469946566,0.0,3,3,4,5,10,25,51,77,210,330,1000
PUT,/users/<id> [update],9806,0,6,11.26159974107265,2.9959579987917095,311.82475000969134,124.60605751580665,108.84252623181057,0.0,6,7,8,9,19,46,77,99,240,310,310
,Aggregated,90540,7,4,13.448650076326249,1.0725830070441589,17473.27033300826,632.7739231278993,1004.9563863989526,0.07769709194602019,4,5,6,8,29,59,99,130,370,7000,17000
