Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,9175,0,5,15.194092700830458,1.4200000005075708,10579.346917002113,3.0,91.65495039106167,0.0,5,7,11,14,31,56,100,150,270,11000,11000
GET,/health,13764,0,4,12.315510384515088,1.080250003724359,347.7697499911301,16.0,137.4974100471469,0.0,4,6,9,12,27,53,98,140,270,330,350
POST,/urls [create],13205,4,8,28.036974151858132,1.2230840075062588,10186.459625008865,73.02544490723211,131.91320108054163,0.03995856147839201,8,18,28,36,65,99,140,170,620,10000,10000
GET,/urls [list],27521,0,5,14.06559630097396,1.5692080050939694,3508.5533749952447,28.0,274.92489261170664,0.0,5,8,11,14,31,58,100,140,270,690,3500
POST,/users [create],8645,6,39,112.31634101508985,2.6857499906327575,4109.636082997895,124.66894158473106,86.36044099517473,0.059937842217588015,39,66,87,100,180,270,1100,1200,4100,4100,4100
GET,/users [list],23038,0,5,14.15816020790687,1.5082500030985102,10739.983791994746,3257.154874555083,230.14133483479878,0.0,5,8,11,14,31,56,100,140,270,630,11000
GET,/users/<id> [get],18337,0,4,12.867010342957544,1.0534160101087764,637.9216670029564,124.579538637727,183.18003545731855,0.0,4,6,9,12,28,55,110,140,290,630,640
PUT,/users/<id> [update],14003,0,9,21.227365486962825,3.1131249997997656,3552.402583998628,124.69642219524388,139.88493409548082,0.0,9,13,19,25,50,82,130,170,290,3100,3600
,Aggregated,127688,10,6,22.684853983576676,1.0534160101087764,10739.983791994746,643.2027598521396,1275.5571995132298,0.09989640369598002,6,10,15,20,48,84,140,210,1100,4100,11000
