Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,12059,195,11,30.725486078134452,0.6158750038594007,3530.0571250118082,5.490256240152583,109.45016628039976,1.7698633738019698,11,19,28,36,68,110,210,300,640,3500,3500
GET,/health,18289,277,10,28.69628924624213,0.6374590011546388,9670.702333998634,18.135545956585926,165.99503201776525,2.5141136130417725,10,17,25,31,62,100,220,320,650,3500,9700
POST,/urls [create],17073,205,17,44.666085893899776,0.638000012258999,10213.212625007145,74.00861008610086,154.95834554318478,1.8606255980995066,17,32,46,56,94,150,260,370,3400,3600,10000
GET,/urls [list],36848,589,11,31.038692832826207,0.5746670067310333,10156.106084003113,30.06201150673035,334.440644091564,5.345895011124924,11,19,28,36,67,110,220,310,650,3500,10000
POST,/users [create],11072,120,53,121.33775094795801,0.5579999997280538,4128.390917001525,125.05328757225433,100.49193474223287,1.0891466915704429,53,81,100,120,210,460,1100,1100,3500,4100,4100
GET,/users [list],30161,520,11,31.567393800269116,0.5517499957932159,6174.604792002356,3204.946487185438,273.74794470380107,4.719635663471919,11,20,28,36,68,110,220,310,660,3600,6200
GET,/users/<id> [get],23920,378,10,29.20922289622376,0.5606670019915327,10246.203249989776,125.10309364548495,217.1032405197083,3.430812078446895,10,17,26,33,63,100,220,310,650,3500,10000
PUT,/users/<id> [update],18052,283,22,45.22607506540426,0.5811250011902303,3539.973959006602,125.24340793263904,163.84396730191364,2.5685709476202945,22,36,51,62,100,150,250,350,690,3500,3500
,Aggregated,167474,2567,13,39.48257263978491,0.5517499957932159,10246.203249989776,633.3610172325257,1520.0312752005696,23.298662977177724,13,24,36,46,85,140,260,390,1100,3600,10000
