Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,6428,4,4,11.097449698892127,1.4554589870385826,224.22329196706414,3432.1017423771,71.93582884253348,0.04476405030649252,4,6,8,9,31,58,76,91,160,220,220
GET,/health,9793,4,3,10.015252642414818,0.9876250405795872,231.88083397690207,16.05759215766364,109.59358616287031,0.04476405030649252,3,5,6,8,28,54,74,88,160,230,230
POST,/urls [create],9267,2,11,31.666958357555806,2.8340420103631914,233.76637505134568,231.0573000971188,103.70711354756655,0.02238202515324626,11,46,59,65,77,89,100,120,170,230,230
GET,/urls [list],19241,14,4,11.126863745014303,1.5050839865580201,211.3497499958612,2544.568369627358,215.32627298680563,0.15667417607272383,4,6,8,10,30,56,76,91,160,210,210
GET,/urls/<id> [get],15722,0,4,9.967135245577058,0.9461659938097,221.35137498844415,231.2118051138532,175.94509972966884,0.0,4,5,6,8,28,55,74,85,140,190,220
PUT,/urls/<id> [update],12603,0,9,16.407890710411618,3.570041968487203,235.22387503180653,233.7183210346743,141.0403315031813,0.0,9,11,13,16,39,70,91,110,160,230,240
POST,/users [create],6115,66,43,53.861259179540475,2.585749956779182,331.1427079606801,125.07751430907604,68.43304190605043,0.7386068300571266,43,67,85,100,140,160,190,220,280,330,330
GET,/users [list],16146,13,4,10.883468685844559,1.2858749832957983,232.36441699555144,3216.5942648333953,180.69008906215706,0.1454831634961007,4,6,7,9,30,57,76,90,160,230,230
GET,/users/<id> [get],12439,0,4,10.01841396763503,1.0040419874712825,226.83166700880975,124.71685826834954,139.2050054406151,0.0,4,5,6,8,27,55,74,87,150,220,230
PUT,/users/<id> [update],9395,0,7,14.446993815110915,2.8632910107262433,237.46475001098588,124.6068121341139,105.13956315737431,0.0,7,9,11,14,37,66,85,100,160,240,240
,Aggregated,117149,103,5,15.4153262484881,0.9461659938097,331.1427079606801,1155.1334454412756,1311.0159323388232,1.1526742953921825,5,8,11,15,52,72,98,120,210,270,330
