Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,921,0,4,5.373091978487639,1.6796659911051393,94.66204099589959,3591.887079261672,14.31653891032578,0.0,4,4,4,5,6,7,43,62,95,95,95
GET,/health,1368,2,3,4.226071244826995,1.3183329720050097,94.06937501626089,16.20614035087719,21.26495681794318,0.03108911815488769,3,3,4,4,5,7,31,49,76,94,94
POST,/urls [create],1351,0,7,28.78684090286856,3.503333020489663,149.15979199577123,229.70170244263508,21.000699313626633,0.0,7,40,58,65,75,88,100,120,140,150,150
GET,/urls [list],2720,6,4,5.927768599833464,1.3701670104637742,115.03654200350866,2528.4805147058823,42.28120069064725,0.09326735446466307,4,4,5,5,6,10,46,62,110,120,120
GET,/urls/<id> [get],2085,0,3,4.788756617277914,1.1757499887607992,105.01670895610005,230.74244604316547,32.41040567647041,0.0,3,4,4,4,5,8,40,58,100,110,110
PUT,/urls/<id> [update],1693,0,8,9.458436568848551,4.3847920023836195,112.17829200904816,232.0785587714117,26.316938518112426,0.0,8,9,9,10,11,14,40,56,100,110,110
POST,/users [create],962,22,49,129.1888741878725,2.936333999969065,1142.3780000186525,124.6923076923077,14.953865832500977,0.3419802997037646,49,79,92,100,160,1100,1100,1100,1100,1100,1100
GET,/users [list],2241,4,4,5.0375509241898,1.5780419926159084,106.33229196537286,3215.4051762605977,34.83535689255165,0.06217823630977538,4,4,4,5,6,8,34,48,78,110,110
GET,/users/<id> [get],1714,0,3,4.623437164483924,1.3264580047689378,131.67008297750726,124.63593932322054,26.64337425873875,0.0,3,4,4,4,6,8,32,45,100,130,130
PUT,/users/<id> [update],1306,0,6,7.719752052870178,3.185542009305209,103.95245801191777,123.77105666156203,20.30119415514166,0.0,6,7,7,7,9,12,40,56,96,100,100
,Aggregated,16361,34,4,14.994043307581109,1.1757499887607992,1142.3780000186525,1166.9853309699897,254.32453106605874,0.5285150086330906,4,6,7,7,12,63,90,120,1100,1100,1100
