Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,8991,2,30,67.20942289821953,1.5015420503914356,822.6194580201991,3392.3896118340563,88.55985090377753,0.019699666534040157,30,61,90,110,170,240,360,500,680,820,820
GET,/health,13721,3,27,64.85875572233569,1.1109579936601222,710.4468750185333,16.03082865680344,135.1495622567825,0.029549499801060235,27,58,89,110,170,240,360,480,640,680,710
POST,/urls [create],13053,5,61,79.25070256555709,2.9162910068407655,1375.6594159640372,231.3480425955719,128.56987363441309,0.04924916633510039,61,81,98,110,170,230,330,450,640,710,1400
GET,/urls [list],27243,8,31,68.8181128072835,0.6883330061100423,835.1376249920577,2523.1657306464044,268.339007693428,0.07879866613616063,31,63,95,120,180,240,360,500,670,760,840
GET,/urls/<id> [get],22442,0,29,65.93896156182652,1.0042499634437263,759.1576660051942,231.23393636930754,221.0499581784646,0.0,29,61,92,110,170,230,350,460,650,700,760
PUT,/urls/<id> [update],17836,0,39,78.10079040265042,3.6562499590218067,832.4830839992501,233.9104619869926,175.6816261505701,0.0,39,74,110,130,190,260,380,550,690,830,830
POST,/users [create],8459,30,72,100.05877097120758,2.5983329978771508,1208.8452909956686,124.80919730464593,83.31973960572284,0.29549499801060236,72,110,140,150,210,280,390,550,1000,1200,1200
GET,/users [list],22751,5,30,67.3818634833045,0.7982500246725976,817.5191660411656,3247.389213660938,224.0935566579738,0.04924916633510039,30,61,92,110,170,240,360,500,660,760,820
GET,/users/<id> [get],17788,0,28,65.94463197944278,1.025125035084784,755.3091670270078,124.4736901281763,175.20883415375314,0.0,28,59,90,110,170,240,360,510,650,750,760
PUT,/users/<id> [update],13553,0,37,75.62274606930467,2.8957920148968697,834.9534170120023,124.6771194569468,133.49479026792312,0.0,37,71,100,130,190,260,370,550,680,830,830
,Aggregated,165837,53,36,71.47757231628142,0.6883330061100423,1375.6594159640372,1149.813992052437,1633.4667995028087,0.5220411631520642,36,69,98,120,180,250,360,510,670,840,1400
