Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,1836,4,3,4.764795053362479,1.4592909719794989,77.8311250032857,3551.989651416122,26.49899137353073,0.05773200734974015,3,3,3,4,5,10,47,59,77,78,78
GET,/health,2773,6,2,4.097248926753561,1.0773339890874922,85.65720898332074,16.305084745762713,40.022714095207355,0.08659801102461022,2,3,3,3,4,8,47,59,74,86,86
POST,/urls [create],2716,1,6,24.56406030256304,2.8520000050775707,172.20083402935416,230.18740795287187,39.20003299047356,0.014433001837435037,6,37,52,57,63,71,83,96,130,170,170
GET,/urls [list],5548,16,3,4.666391811761236,1.4254580019041896,99.79366598417982,2633.6391492429702,80.07429419408959,0.2309280293989606,3,3,4,4,5,9,39,58,76,100,100
GET,/urls/<id> [get],4366,0,2,4.035098965083937,1.025000005029142,94.58716696826741,230.95831424644985,63.01448602224137,0.0,2,3,3,3,4,7,38,56,80,95,95
PUT,/urls/<id> [update],3501,0,6,8.074954373249797,3.5527499858289957,120.83254201570526,232.31048271922307,50.52993943286006,0.0,6,6,7,7,9,14,50,61,90,120,120
POST,/users [create],1940,66,46,54.88598093938937,1.9775829860009253,1061.7066249833442,125.51804123711341,28.000023564623973,0.9525781212707124,46,73,85,95,130,150,190,240,1100,1100,1100
GET,/users [list],4616,8,3,4.719465605341495,1.1970000341534615,210.65058303065598,3216.8578856152512,66.62273648160013,0.1154640146994803,3,3,3,4,5,9,47,59,76,210,210
GET,/users/<id> [get],3515,0,2,4.057935302051058,1.0060829808935523,103.84508298011497,124.575533428165,50.73200145858416,0.0,2,3,3,3,4,7,39,59,79,100,100
PUT,/users/<id> [update],2695,0,4,6.59501367271921,2.827917051035911,93.7984159681946,123.89090909090909,38.896939951887425,0.0,4,5,5,6,7,12,50,63,85,94,94
,Aggregated,33506,101,3,9.517808230732918,1.0060829808935523,1061.7066249833442,1178.5727630872082,483.59215956509837,1.4577331855809388,3,4,5,6,13,58,79,100,200,1100,1100
