Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,3956,1,3,6.144712951645929,1.4179159770719707,114.26941602258012,3593.431749241658,49.92010568966307,0.012618833591926963,3,3,4,4,6,28,63,74,110,110,110
GET,/health,5932,4,2,5.304558815669132,0.9899159776978195,147.03679201193154,16.095077545515846,74.85492086731074,0.050475334367707854,2,3,3,4,5,25,59,69,97,150,150
POST,/urls [create],5782,0,7,29.91900070491202,2.9807499959133565,216.61354100797325,230.94673123486683,72.9620958285217,0.0,7,46,60,66,77,87,100,110,160,220,220
GET,/urls [list],12100,12,3,6.550113122644719,1.4458330115303397,214.84299999428913,2536.7048760330576,152.68788646231624,0.15142600310312354,3,3,4,5,7,31,62,75,110,210,210
GET,/urls/<id> [get],9848,0,2,6.1406120490827965,0.9183750371448696,171.63708299631253,231.0368602761982,124.27027321329673,0.0,2,3,3,4,6,35,65,75,120,170,170
PUT,/urls/<id> [update],8052,0,6,10.436285180348236,3.361125010997057,223.81512500578538,233.38549428713364,101.60684808219591,0.0,6,7,8,9,13,38,71,85,120,220,220
POST,/users [create],3979,44,41,50.869721278399496,2.5744999875314534,1082.9741660272703,125.05981402362403,50.21033886227738,0.5552286780447864,41,67,80,89,120,150,190,210,1100,1100,1100
GET,/users [list],10073,3,3,6.172410510955634,1.2507080100476742,216.14720800425857,3283.02620867666,127.1095107714803,0.037856500775780885,3,3,4,4,7,30,61,74,110,140,220
GET,/users/<id> [get],7665,0,2,5.907664249721909,0.9887920459732413,144.39412497449666,124.48271363339856,96.72335948212017,0.0,2,3,3,4,6,30,63,76,120,140,140
PUT,/users/<id> [update],6007,0,5,8.458179623409963,2.610999974422157,145.09195799473673,124.42733477609455,75.80133338670527,0.0,5,6,6,7,10,35,65,78,110,150,150
,Aggregated,73394,64,3,11.079989065020904,0.9183750371448696,1082.9741660272703,1168.544526800556,926.1466726458875,0.8076053498833257,3,5,6,7,33,66,87,110,200,290,1100
