Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,1721,4,4,4.635473698870599,1.5090000233612955,138.84779100771993,3447.414875072632,14.388201211155176,0.03344149032226653,4,4,5,5,6,7,14,29,68,140,140
GET,/health,2551,12,3,3.8395829245081936,1.2813329813070595,122.62483296217397,16.66326930615445,21.32731045302548,0.1003244709667996,3,3,4,4,5,6,12,30,72,120,120
POST,/urls [create],1819,1,7,23.70994280454272,3.2023750245571136,234.41616701893508,229.23034634414515,15.207517724050705,0.008360372580566633,7,9,24,45,76,92,140,170,230,230,230
GET,/urls [list],5090,8,4,4.956362430053838,1.6759579884819686,121.34195800172165,2836.7039292730847,42.55429643508416,0.06688298064453306,4,4,5,5,6,8,18,39,74,120,120
GET,/urls/<id> [get],3710,0,3,4.162984605968963,1.1581250000745058,151.10633301082999,230.57735849056604,31.016982273902208,0.0,3,3,4,4,5,7,17,41,93,150,150
PUT,/urls/<id> [update],2966,0,8,9.037709305452564,4.184000019449741,113.33245795685798,232.034052596089,24.79686507396063,0.0,8,9,9,9,11,13,29,48,99,110,110
POST,/users [create],1307,64,7,54.773596847615494,3.05574998492375,1206.3549589947797,124.87758224942617,10.92700696280059,0.5350638451562645,7,54,66,79,150,250,300,320,1200,1200,1200
GET,/users [list],4180,7,4,4.447884225669767,1.4697909937240183,129.787124984432,3168.1294258373205,34.946357386768526,0.05852260806396643,4,4,4,5,6,7,14,32,70,130,130
GET,/users/<id> [get],2920,0,3,3.901712400444037,1.1397080379538238,75.96595800714567,124.02773972602739,24.412287935254568,0.0,3,3,4,4,5,6,14,36,69,76,76
PUT,/users/<id> [update],2213,0,6,7.231949102613272,2.997124975081533,97.35137497773394,123.7501129688206,18.501504520793958,0.0,6,7,7,8,9,11,27,47,84,97,97
,Aggregated,28477,96,4,8.637067331925552,1.1397080379538238,1206.3549589947797,1278.820556940689,238.078329976796,0.8025957677343968,4,5,6,7,9,22,69,100,290,1000,1200
